district,dem_presidential_votes,rep_presidential_votes,two_party_votes,dem_presidential_vote_share_pct,rep_presidential_vote_share_pct,presidential_winner,dem_margin_pp
1,182859,274619,457478,39.97110243552696,60.02889756447305,Republican,-10.028897564473043
2,145537,262974,408511,35.62621324762369,64.3737867523763,Republican,-14.373786752376311
3,222278,187116,409394,54.294396107417306,45.705603892582694,Democratic,4.294396107417309
4,196304,212437,408741,48.02650088931622,51.97349911068378,Republican,-1.9734991106837851
5,150553,248686,399239,37.7099932621813,62.2900067378187,Republican,-12.290006737818699
6,285826,164192,450018,63.514348314956294,36.485651685043706,Democratic,13.514348314956292
7,222250,217761,440011,50.51010088384154,49.48989911615846,Democratic,0.5101008838415355
8,215747,207073,422820,51.02573198997209,48.97426801002791,Democratic,1.0257319899720896
9,159890,296591,456481,35.02664952100963,64.97335047899037,Republican,-14.973350478990366
10,209969,214177,424146,49.50394439650498,50.496055603495016,Republican,-0.4960556034950214
11,274499,182826,457325,60.02274093915706,39.97725906084294,Democratic,10.02274093915706
12,285415,97501,382916,74.53723532054028,25.462764679459728,Democratic,24.537235320540272
13,252919,83911,336830,75.08802660095597,24.91197339904403,Democratic,25.08802660095597
