CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_vote_share,rep_vote_share,winner,dem_margin_votes,dem_margin_pct
1,182859,274619,552,457478,0.39971102435526956,0.6002889756447305,Republican,-91760,-10.028897564473043
2,145537,262974,405,408511,0.3562621324762369,0.6437378675237632,Republican,-117437,-14.373786752376311
3,222278,187116,292,409394,0.5429439610741731,0.45705603892582697,Democratic,35162,4.294396107417309
4,196304,212437,302,408741,0.48026500889316215,0.5197349911068379,Republican,-16133,-1.9734991106837851
5,150553,248686,331,399239,0.377099932621813,0.622900067378187,Republican,-98133,-12.290006737818699
6,285826,164192,310,450018,0.6351434831495629,0.3648565168504371,Democratic,121634,13.514348314956292
7,222250,217761,326,440011,0.5051010088384154,0.4948989911615846,Democratic,4489,0.5101008838415355
8,215747,207073,392,422820,0.5102573198997209,0.4897426801002791,Democratic,8674,1.0257319899720896
9,159890,296591,354,456481,0.35026649521009634,0.6497335047899037,Republican,-136701,-14.973350478990366
10,209969,214177,302,424146,0.4950394439650498,0.5049605560349503,Republican,-4208,-0.4960556034950214
11,274499,182826,296,457325,0.6002274093915706,0.39977259060842946,Democratic,91673,10.02274093915706
12,285415,97501,415,382916,0.7453723532054027,0.25462764679459726,Democratic,187914,24.537235320540272
13,252919,83911,479,336830,0.7508802660095597,0.2491197339904403,Democratic,169008,25.08802660095597
