state,simplification_tolerance_m,mean_polsby_popper,mean_reock,mean_convex_hull_ratio
Michigan,0,0.31799782549847466,0.4042503263357085,0.7568815936057856
Michigan,100,0.3280036084235449,0.4042778267203833,0.7572559455085913
Michigan,250,0.33898778652057576,0.40441867095563766,0.7577467619456388
Michigan,500,0.35338355742339067,0.40476468770688406,0.7586216438877786
Michigan,1000,0.3705675762365192,0.4050005098366042,0.7597066006099518
Michigan,2500,0.394738553720764,0.4033747719822121,0.7681587110345522
Missouri,0,0.3013365090036749,0.45184059250050074,0.7824908658885296
Missouri,100,0.3055918377787384,0.4520342866038184,0.7828847063566166
Missouri,250,0.31240893475169057,0.4517698067731918,0.7827990015069047
Missouri,500,0.31970639316406396,0.4515497661875618,0.7831634408547257
Missouri,1000,0.33605276744601953,0.45134559057657236,0.784809982744097
Missouri,2500,0.3680896971022857,0.4470918879391439,0.7844206104148724
