CD,state_code,state,area,perimeter,convex_hull_area,polsby_popper,reock,convex_hull_ratio,polsby_popper_rank,reock_rank,convex_hull_ratio_rank
1,MI,Michigan,72652319302.94716,5086553.704595896,149011296802.73962,0.03528678396450655,0.23545399947581178,0.48756249265533147,13,12,13
2,MI,Michigan,25785754438.999763,895009.8431439376,32762812346.85162,0.40451449028337993,0.5127654681187528,0.7870433760695661,4,2,6
3,MI,Michigan,2142440045.6039062,281923.981271021,2856901716.691003,0.3387306549404541,0.37230632371435474,0.7499173083508733,7,10,9
4,MI,Michigan,6323738516.276951,428014.9212101687,8267006052.936679,0.4337764288014783,0.44264984182761224,0.7649369645774695,3,7,7
5,MI,Michigan,13877696822.147972,816201.2303487073,17566772540.207695,0.261777773338475,0.19129418777111526,0.7899969553532964,10,13,5
6,MI,Michigan,2612101645.057709,348015.0154194752,3603190162.595639,0.2710216418824638,0.387066287316531,0.7249413789407171,8,8,11
7,MI,Michigan,7243733580.19461,412233.8613941959,8126369254.599413,0.5356548088002019,0.5109264194927751,0.8913862209860518,1,3,1
8,MI,Michigan,5897026224.531767,531309.5151767521,7755494956.141291,0.262511138621535,0.3790031613083842,0.7603674888424922,9,9,8
9,MI,Michigan,12189565039.20986,1073626.7554222522,14827534635.102259,0.13288973068818274,0.48129112559182774,0.8220898038135518,12,4,4
10,MI,Michigan,595697498.1994592,145905.12889396955,800955429.9265591,0.35163696501869307,0.457722443144869,0.7437336410267918,6,6,10
11,MI,Michigan,875534528.969821,165047.81716135918,1058916011.0332433,0.40389043886504256,0.473167431266591,0.8268215041110892,5,5,3
12,MI,Michigan,496857257.47716093,113781.30356403971,593901321.9452802,0.4822804880548022,0.5732268835122217,0.8365990091581905,2,1,2
13,MI,Michigan,561084210.770526,179022.34111867906,857842228.3380331,0.22000038822095516,0.2383806698306711,0.6540645729897906,11,11,12
