CD,area,perimeter,convex_hull_area,polsby_popper,reock,convex_hull_ratio,state_code,state,polsby_popper_rank,reock_rank,convex_hull_ratio_rank
1,72652319302.94716,5086553.704595896,149011296802.73962,0.03528678396450655,0.23545399947581178,0.48756249265533147,MI,Michigan,13,12,13
2,25785754438.999763,895009.8431439376,32762812346.85162,0.40451449028337993,0.5127654681187528,0.7870433760695661,MI,Michigan,4,2,6
3,2142440045.6039062,281923.981271021,2856901716.691003,0.3387306549404541,0.37230632371435474,0.7499173083508733,MI,Michigan,7,10,9
4,6323738516.276951,428014.9212101687,8267006052.936679,0.4337764288014783,0.44264984182761224,0.7649369645774695,MI,Michigan,3,7,7
5,13877696822.147972,816201.2303487073,17566772540.207695,0.261777773338475,0.19129418777111526,0.7899969553532964,MI,Michigan,10,13,5
6,2612101645.057709,348015.0154194752,3603190162.595639,0.2710216418824638,0.387066287316531,0.7249413789407171,MI,Michigan,8,8,11
7,7243733580.19461,412233.8613941959,8126369254.599413,0.5356548088002019,0.5109264194927751,0.8913862209860518,MI,Michigan,1,3,1
8,5897026224.531767,531309.5151767521,7755494956.141291,0.262511138621535,0.3790031613083842,0.7603674888424922,MI,Michigan,9,9,8
9,12189565039.20986,1073626.7554222522,14827534635.102259,0.13288973068818274,0.48129112559182774,0.8220898038135518,MI,Michigan,12,4,4
10,595697498.1994592,145905.12889396955,800955429.9265591,0.35163696501869307,0.457722443144869,0.7437336410267918,MI,Michigan,6,6,10
11,875534528.969821,165047.81716135918,1058916011.0332433,0.40389043886504256,0.473167431266591,0.8268215041110892,MI,Michigan,5,5,3
12,496857257.47716093,113781.30356403971,593901321.9452802,0.4822804880548022,0.5732268835122217,0.8365990091581905,MI,Michigan,2,1,2
13,561084210.770526,179022.34111867906,857842228.3380331,0.22000038822095516,0.2383806698306711,0.6540645729897906,MI,Michigan,11,11,12
1,667320770.1099898,174928.6496861459,872029634.678976,0.2740454645289525,0.524514199852607,0.7652501056981319,MO,Missouri,5,3,6
2,4702871618.31361,525091.2739941488,6011158695.747266,0.21434007823320206,0.47906697534107123,0.7823569225748052,MO,Missouri,7,5,5
3,19890273455.03548,1345476.6306967123,31239180875.511513,0.1380696741679435,0.3682313227342344,0.6367091869117325,MO,Missouri,8,7,8
4,37969153086.235725,1252378.9577476333,48240235016.77894,0.30420703280613864,0.5277989867787563,0.7870847451930796,MO,Missouri,3,1,4
5,1111115974.3901474,189739.81659092446,1325642494.5231824,0.38783973604816796,0.3687288560003593,0.8381716631600608,MO,Missouri,2,6,2
6,53049241244.94154,1490701.0606881399,65173701669.26671,0.29999078863205125,0.30031833325522017,0.8139669818686611,MO,Missouri,4,8,3
7,15209526253.151205,604917.6151071573,16785136357.628113,0.5223157096881105,0.5261135650733214,0.9061306342166913,MO,Missouri,1,2,1
8,47884654490.88802,1493189.3148609367,65572360118.738045,0.26988358792483325,0.51995250096834,0.7302566874850741,MO,Missouri,6,4,7
