CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_share,rep_share,dem_wasted_votes,rep_wasted_votes,winner,dem_margin_pp
1,142874.0,236112.0,552,378986.0,0.37699017905674614,0.6230098209432539,142874.0,46618.0,Republican,-12.300982094325386
2,114777.19921722113,212675.1628180039,405,327452.362035225,0.3505157162521069,0.6494842837478931,114777.19921722113,48948.16281800391,Republican,-14.948428374789307
3,166919.80078277885,166588.8371819961,292,333508.637964775,0.5004961844508773,0.4995038155491227,164.80078277885332,166588.8371819961,Democratic,0.04961844508772906
4,152193.55919854282,185991.82877959928,302,338185.3879781421,0.4500299676116684,0.5499700323883316,152193.55919854282,16898.82877959928,Republican,-4.997003238833159
5,120465.4408014572,208784.17122040072,331,329249.61202185793,0.36587876311137413,0.6341212368886259,120465.4408014572,44159.17122040072,Republican,-13.412123688862588
6,227029.15741547942,145579.22559453268,310,372608.3830100121,0.6092969663792537,0.3907030336207463,40724.15741547942,145579.22559453268,Democratic,10.929696637925367
7,174754.0,189272.0,326,364026.0,0.4800591166565026,0.5199408833434974,174754.0,7258.0,Republican,-1.9940883343497418
8,183282.0,179275.0,392,362557.0,0.5055260276315172,0.4944739723684828,2003.0,179275.0,Democratic,0.5526027631517216
9,120455.0,249086.0,354,369541.0,0.32595841868696573,0.6740415813130343,120455.0,64315.0,Republican,-17.404158131303426
10,166889.1325443787,186837.73964497042,302,353726.87218934915,0.4718022453636017,0.5281977546363983,166889.1325443787,9973.739644970425,Republican,-2.8197754636398287
11,218529.68354476063,163034.47508063613,296,381564.1586253968,0.5727206777807022,0.42727932221929776,27746.683544760628,163034.47508063613,Democratic,7.272067778070223
12,250120.15903975995,85666.29932483121,415,335786.4583645912,0.7448786358388038,0.25512136416119624,82226.15903975995,85666.29932483121,Democratic,24.487863583880376
13,230487.8674556213,70637.26035502959,479,301125.1278106509,0.765422232051499,0.23457776794850105,79924.86745562131,70637.26035502959,Democratic,26.542223205149895
