rank,sample_count,mean,median,q05,q25,q75,q95,enacted_dem_share,enacted_minus_ensemble_median
1,18900,0.7805068296213172,0.7806473212997227,0.7101975731325959,0.7527294454378207,0.808216666095896,0.8515692593315185,0.765422232051499,-0.015225089248223744
2,18900,0.6815389784035739,0.6826680995622229,0.6124449091959662,0.6522659706567371,0.7117531116166012,0.7462870634668806,0.7448786358388038,0.06221053627658091
3,18900,0.5952007776492965,0.5940121587920284,0.5462840245584977,0.571686269444287,0.617652516573606,0.6475540306721074,0.6092969663792536,0.015284807587225169
4,18900,0.5497958763193828,0.5477956618624802,0.5048495958709698,0.5284399448483738,0.5720408380524887,0.596612492927677,0.5727206777807023,0.02492501591822216
5,18900,0.5072250090001622,0.5036218112741728,0.4794236568788254,0.4932710844572,0.5188422972811643,0.5443054478795999,0.5055260276315172,0.0019042163573443904
6,18900,0.483458337303702,0.4858513801180291,0.4578403919918494,0.4708211420507496,0.4942881033507656,0.5078046325100161,0.5004961844508776,0.014644804332848538
7,18900,0.462938719535732,0.4614484135218565,0.4465728438493747,0.4559989654952044,0.4670490909787831,0.4864688458743658,0.4800591166565026,0.01861070313464608
8,18900,0.4509433415362024,0.4512234583002353,0.434655669039158,0.4448684015988587,0.4578827762975627,0.4649494237519909,0.4718022453636017,0.02057878706336641
9,18900,0.4385876692202809,0.4394386591537406,0.4192984449131747,0.4310876530941916,0.44654929727334375,0.4563610042188649,0.4500299676116684,0.010591308457927828
10,18900,0.4170435476753737,0.4160355083588104,0.396140219127253,0.4066764562147328,0.4258837226103512,0.442178951965622,0.3769901790567461,-0.039045329302064335
11,18900,0.39826165860165885,0.3978073929640082,0.3802975471640879,0.3896764966568259,0.4061361409074966,0.4174892225253435,0.3658787631113741,-0.031928629852634116
12,18900,0.38401102085493916,0.3818729874312598,0.36974669591727,0.3777698607098851,0.389554680491352,0.4036918194633943,0.350515716252107,-0.031357271179152824
13,18900,0.37033000492187107,0.3731551945279096,0.3506605572495829,0.3647115738917282,0.3778831837671157,0.3815821334773779,0.3259584186869657,-0.047196775840943894
