election,metric,enacted_value,sample_count,count_below,count_equal,count_above,midrank_percentile,lower_tail_inclusive_percent,upper_tail_inclusive_percent,two_sided_extremeness_percent,ensemble_mean,ensemble_median,ensemble_sd,ensemble_min,ensemble_max
2016 presidential,dem_seats,6.0,18900,16767,2098,35,94.26455026455028,99.8148148148148,11.285714285714285,22.57142857142857,4.672645502645502,5.0,0.7136672948358201,3.0,7.0
2016 presidential,efficiency_gap,-0.038749497891198,18900,17911,0,989,94.76719576719576,94.76719576719576,5.232804232804233,10.465608465608463,-0.14247369585185,-0.120364851438455,0.0558046205803936,-0.2803137951906165,0.0425111090541842
2016 presidential,mean_median,-0.0214466626413144,18900,17040,0,1860,90.15873015873017,90.15873015873017,9.841269841269842,19.682539682539684,-0.0385875705137673,-0.0400850253625938,0.0113131100329267,-0.0777523072502718,0.0076081468234054
2016 presidential,cut_edges,681.0,18900,6,0,18894,0.0317460317460317,0.0317460317460317,99.96825396825398,0.0634920634920634,845.0065608465609,842.0,53.7874694197251,658.0,1066.0
2016 presidential,max_population_deviation,0.0040193182103474,18900,0,0,18900,0.0,0.0,100.0,0.0,0.0186543457088286,0.0190042383246118,0.0012539257062186,0.0085434327799691,0.0199996407779005
2020 presidential,dem_seats,7.0,18900,16267,2438,195,92.51851851851852,98.96825396825398,13.93121693121693,27.86243386243386,5.7149206349206345,6.0,0.8058201555717556,3.0,9.0
2020 presidential,efficiency_gap,0.0033332049850474,18900,18158,0,742,96.07407407407408,96.07407407407408,3.9259259259259256,7.851851851851851,-0.0999193812304882,-0.0797863367749009,0.0627720609990178,-0.3052763980337042,0.1604067540535139
2020 presidential,mean_median,-0.0140197480146642,18900,17639,0,1261,93.32804232804232,93.32804232804232,6.671957671957672,13.343915343915343,-0.0304034760972245,-0.0313744214954523,0.0105378222971476,-0.0706337543646906,0.0208244449057342
2020 presidential,cut_edges,681.0,18900,6,0,18894,0.0317460317460317,0.0317460317460317,99.96825396825398,0.0634920634920634,845.0065608465609,842.0,53.7874694197251,658.0,1066.0
2020 presidential,max_population_deviation,0.0040193182103474,18900,0,0,18900,0.0,0.0,100.0,0.0,0.0186543457088286,0.0190042383246118,0.0012539257062186,0.0085434327799691,0.0199996407779005
